fullpath,length,color
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1174.mp4,10.03,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1175.mp4,10.025,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1176.mp4,10.02,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1177.mp4,10.016,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1178.mp4,10.011000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1179.mp4,10.027999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-118.mp4,10.027000000000001,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1180.mp4,10.023,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1181.mp4,10.017999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1182.mp4,10.014,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1183.mp4,10.03,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1184.mp4,10.026,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1185.mp4,10.021,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1186.mp4,10.016,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1187.mp4,10.012,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1188.mp4,10.027999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1189.mp4,10.024,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-119.mp4,1.724,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1190.mp4,10.019,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1191.mp4,10.014,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1192.mp4,10.031,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1193.mp4,8.298,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-120.mp4,4.601,Black and SpringGreen
temp_clips\2001_A_SPACE_ODYSSEY\Scene-121.mp4,6.775,Gray and Malibu
temp_clips\2001_A_SPACE_ODYSSEY\Scene-122.mp4,4.691,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-123.mp4,10.025,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-124.mp4,10.02,Red and SpringGreen
temp_clips\2001_A_SPACE_ODYSSEY\Scene-125.mp4,9.055,Black and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-126.mp4,10.01,Dolly and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-127.mp4,10.026,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-128.mp4,5.84,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-129.mp4,10.027999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-130.mp4,10.023,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-131.mp4,9.4,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-132.mp4,10.021,Black and LightCoral
temp_clips\2001_A_SPACE_ODYSSEY\Scene-133.mp4,10.017000000000001,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-134.mp4,9.607000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-135.mp4,9.016,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-136.mp4,3.719,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-137.mp4,7.069,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-138.mp4,3.6460000000000004,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-139.mp4,8.765,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-140.mp4,4.55,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-141.mp4,10.031,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-142.mp4,7.146,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-143.mp4,7.609,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-144.mp4,4.05,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-145.mp4,7.15,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-146.mp4,10.024,Black and Dolly
temp_clips\2001_A_SPACE_ODYSSEY\Scene-147.mp4,10.019,Black and Dolly
temp_clips\2001_A_SPACE_ODYSSEY\Scene-148.mp4,10.014,Black and Dolly
temp_clips\2001_A_SPACE_ODYSSEY\Scene-149.mp4,9.902999999999999,Black and Dolly
temp_clips\2001_A_SPACE_ODYSSEY\Scene-150.mp4,9.981,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-151.mp4,9.677,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-152.mp4,10.026,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-153.mp4,10.022,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-154.mp4,10.017000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-155.mp4,2.439,Black and Chartreuse
temp_clips\2001_A_SPACE_ODYSSEY\Scene-156.mp4,10.025,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-157.mp4,10.021,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-158.mp4,10.016,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-159.mp4,10.011000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-160.mp4,10.027999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-161.mp4,2.0869999999999997,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-162.mp4,10.029,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-163.mp4,10.024,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-164.mp4,17.486,DarkRed and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-165.mp4,14.282,LightCoral and MintGreen
temp_clips\2001_A_SPACE_ODYSSEY\Scene-166.mp4,2.685,Gray and Dolly
temp_clips\2001_A_SPACE_ODYSSEY\Scene-167.mp4,31.331999999999997,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-168.mp4,44.02,MintGreen and LightCoral
temp_clips\2001_A_SPACE_ODYSSEY\Scene-169.mp4,21.116999999999997,Black and Rose
temp_clips\2001_A_SPACE_ODYSSEY\Scene-170.mp4,16.695,Black and Malibu
temp_clips\2001_A_SPACE_ODYSSEY\Scene-171.mp4,20.022000000000002,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-172.mp4,5.271,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-173.mp4,34.512,Black and Red
temp_clips\2001_A_SPACE_ODYSSEY\Scene-174.mp4,10.472999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-175.mp4,3.3539999999999996,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-176.mp4,7.846,Navy and Yellow
temp_clips\2001_A_SPACE_ODYSSEY\Scene-177.mp4,23.066999999999997,Dolly and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-178.mp4,16.322,Navy and Chartreuse
temp_clips\2001_A_SPACE_ODYSSEY\Scene-179.mp4,42.723,Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-180.mp4,67.833,Navy and Red
temp_clips\2001_A_SPACE_ODYSSEY\Scene-181.mp4,17.316,Navy and Rose
temp_clips\2001_A_SPACE_ODYSSEY\Scene-182.mp4,57.906000000000006,Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-183.mp4,22.159000000000002,Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-184.mp4,4.428,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-185.mp4,10.012,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-186.mp4,2.7539999999999996,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-187.mp4,10.027999999999999,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-188.mp4,10.023,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-189.mp4,10.017999999999999,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-190.mp4,6.6,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-191.mp4,4.512,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-192.mp4,6.813,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-193.mp4,1.635,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-194.mp4,10.014,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-195.mp4,10.03,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-196.mp4,10.026,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-197.mp4,10.021,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-198.mp4,10.016,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-199.mp4,9.969,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-200.mp4,5.506,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-201.mp4,5.269,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-202.mp4,5.645,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-203.mp4,9.317,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-204.mp4,10.021,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-205.mp4,12.64,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-206.mp4,20.034000000000002,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-207.mp4,3.2569999999999997,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-208.mp4,10.031,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-209.mp4,5.93,Olive and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-210.mp4,9.18,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-211.mp4,10.011000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-212.mp4,10.027000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-213.mp4,3.431,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-214.mp4,10.015,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-215.mp4,3.3539999999999996,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-216.mp4,10.024,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-217.mp4,9.443,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-218.mp4,5.436,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-219.mp4,10.019,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-220.mp4,10.014,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-221.mp4,2.266,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-222.mp4,10.017999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-223.mp4,6.557,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-224.mp4,10.015,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-225.mp4,3.759,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-226.mp4,10.011000000000001,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-227.mp4,10.027000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-228.mp4,10.023,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-229.mp4,4.386,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-230.mp4,5.468,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-231.mp4,10.01,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-232.mp4,2.965,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-233.mp4,10.031,Navy and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-234.mp4,10.026,Navy and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-235.mp4,10.021,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-236.mp4,10.017000000000001,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-237.mp4,10.012,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-238.mp4,2.093,Black and Blue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-239.mp4,10.013,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-240.mp4,10.03,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-241.mp4,85.88600000000001,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-242.mp4,19.87,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-243.mp4,15.440999999999999,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-244.mp4,18.739,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-245.mp4,15.905999999999999,Cyan and Red
temp_clips\2001_A_SPACE_ODYSSEY\Scene-246.mp4,19.151,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-247.mp4,17.863,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-248.mp4,6.39,Fuchsia and Yellow
temp_clips\2001_A_SPACE_ODYSSEY\Scene-249.mp4,10.014,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-250.mp4,5.806,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-251.mp4,11.892000000000001,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-252.mp4,23.322,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-253.mp4,5.149,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-254.mp4,9.021,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-255.mp4,10.017999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-256.mp4,4.637,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-257.mp4,9.18,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-258.mp4,11.012,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-259.mp4,8.427999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-260.mp4,6.232,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-261.mp4,9.32,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-262.mp4,10.024,Black and Fuchsia
temp_clips\2001_A_SPACE_ODYSSEY\Scene-263.mp4,8.355,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-264.mp4,10.019,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-265.mp4,10.014,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-266.mp4,10.031,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-267.mp4,7.765,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-268.mp4,6.151,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-269.mp4,14.440999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-270.mp4,20.746,DarkRed and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-271.mp4,9.105,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-272.mp4,4.813,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-273.mp4,27.451,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-274.mp4,8.433,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-275.mp4,11.72,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-276.mp4,9.387,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-277.mp4,11.523,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-278.mp4,9.27,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-279.mp4,6.176,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-280.mp4,2.67,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-281.mp4,1.771,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-282.mp4,1.0859999999999999,Black and Fuchsia
temp_clips\2001_A_SPACE_ODYSSEY\Scene-283.mp4,1.047,Black and Fuchsia
temp_clips\2001_A_SPACE_ODYSSEY\Scene-284.mp4,1.0070000000000001,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-285.mp4,0.966,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-286.mp4,1.052,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-287.mp4,3.188,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-288.mp4,17.362000000000002,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-289.mp4,18.784000000000002,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-290.mp4,10.022,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-291.mp4,10.017000000000001,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-292.mp4,10.012,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-293.mp4,13.89,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-294.mp4,5.0569999999999995,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-295.mp4,23.669,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-296.mp4,10.025,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-297.mp4,8.357000000000001,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-298.mp4,3.344,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-299.mp4,7.772,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-300.mp4,10.019,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-301.mp4,5.172000000000001,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-302.mp4,6.891,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-303.mp4,2.676,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-304.mp4,3.4619999999999997,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-305.mp4,7.062,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-306.mp4,4.6,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-307.mp4,10.017999999999999,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-308.mp4,5.64,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-309.mp4,5.555,Black and White
temp_clips\2001_A_SPACE_ODYSSEY\Scene-310.mp4,9.224,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-311.mp4,10.012,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-312.mp4,10.027999999999999,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-313.mp4,10.024,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-314.mp4,4.856,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-315.mp4,4.136,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-316.mp4,7.644,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-317.mp4,1.847,Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-318.mp4,5.172999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-319.mp4,1.3459999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-320.mp4,2.017,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-321.mp4,5.0489999999999995,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-322.mp4,10.029,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-323.mp4,10.024,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-324.mp4,10.02,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-325.mp4,10.015,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-326.mp4,10.01,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-327.mp4,10.027000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-328.mp4,1.382,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-329.mp4,10.012,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-330.mp4,1.1320000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-331.mp4,10.012,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-332.mp4,4.843999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-333.mp4,1.222,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-334.mp4,10.017999999999999,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-335.mp4,10.013,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-336.mp4,4.1419999999999995,Gray and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-337.mp4,8.93,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-338.mp4,9.092,Gray and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-339.mp4,6.187,Olive and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-340.mp4,6.178999999999999,Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-341.mp4,1.307,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-342.mp4,2.02,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-343.mp4,3.8789999999999996,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-344.mp4,1.2590000000000001,Olive and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-345.mp4,1.9280000000000002,Olive and Purple
temp_clips\2001_A_SPACE_ODYSSEY\Scene-346.mp4,8.266,Black and Purple
temp_clips\2001_A_SPACE_ODYSSEY\Scene-347.mp4,7.025,Black and Purple
temp_clips\2001_A_SPACE_ODYSSEY\Scene-348.mp4,10.024,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-349.mp4,10.019,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-350.mp4,10.014,DarkRed and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-351.mp4,10.01,Olive and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-352.mp4,2.56,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-353.mp4,6.608,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-354.mp4,7.058,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-355.mp4,10.014,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-356.mp4,10.01,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-357.mp4,7.274,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-358.mp4,10.022,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-359.mp4,2.722,Gray and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-360.mp4,7.051,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-361.mp4,10.027999999999999,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-362.mp4,1.8530000000000002,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-363.mp4,10.023,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-364.mp4,1.101,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-365.mp4,10.023,Black and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-366.mp4,10.017999999999999,Black and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-367.mp4,2.44,Black and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-368.mp4,9.193999999999999,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-369.mp4,6.93,Gray and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-370.mp4,5.681,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-371.mp4,4.02,Olive and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-372.mp4,10.021,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-373.mp4,6.774,Black and Green
temp_clips\2001_A_SPACE_ODYSSEY\Scene-374.mp4,5.649,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-375.mp4,10.024,Black and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-376.mp4,10.019,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-377.mp4,10.015,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-378.mp4,4.271,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-379.mp4,10.022,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-380.mp4,10.017000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-381.mp4,2.2680000000000002,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-382.mp4,7.931,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-383.mp4,4.7219999999999995,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-384.mp4,7.603,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-385.mp4,10.017999999999999,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-386.mp4,10.013,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-387.mp4,1.347,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-388.mp4,10.017000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-389.mp4,2.0980000000000003,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-390.mp4,10.017999999999999,Navy and Olive
temp_clips\2001_A_SPACE_ODYSSEY\Scene-391.mp4,10.014,DarkRed and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-392.mp4,6.852,Teal and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-393.mp4,10.016,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-394.mp4,10.011000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-395.mp4,10.027999999999999,Black and DarkRed
